
2022/02/23 (06:08:28) | ===> btop++ v.1.2.3
2022/02/23 (06:08:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/02/23 (06:09:40) | ===> btop++ v.1.2.3
2022/02/23 (06:09:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/02/25 (18:25:28) | ===> btop++ v.1.2.3
2022/02/25 (18:25:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/12/12 (15:27:16) | ===> btop++ v.1.2.13
2022/12/12 (15:27:16) | ERROR: Stall in Runner thread, restarting!

2023/12/07 (11:01:52) | ===> btop++ v.1.2.13
2023/12/07 (11:01:52) | ERROR: Stall in Runner thread, restarting!

2023/12/07 (13:11:12) | ===> btop++ v.1.2.13
2023/12/07 (13:11:12) | ERROR: Stall in Runner thread, restarting!

2024/03/15 (00:42:15) | ===> btop++ v.1.3.2
2024/03/15 (00:42:15) | ERROR: Stall in Runner thread, restarting!
2024/03/15 (00:43:11) | ERROR: Stall in Runner thread, restarting!

2024/07/08 (07:12:19) | ===> btop++ v.1.3.2
2024/07/08 (07:12:19) | ERROR: Stall in Runner thread, restarting!

2024/12/09 (13:46:57) | ===> btop++ v.1.4.0
2024/12/09 (13:46:57) | ERROR: Stall in Runner thread, restarting!

2024/12/10 (17:35:28) | ===> btop++ v.1.4.0
2024/12/10 (17:35:28) | ERROR: Stall in Runner thread, restarting!

2024/12/12 (16:56:14) | ===> btop++ v.1.4.0
2024/12/12 (16:56:14) | ERROR: Stall in Runner thread, restarting!

2024/12/14 (01:40:30) | ===> btop++ v.1.4.0
2024/12/14 (01:40:30) | ERROR: Stall in Runner thread, restarting!
2024/12/14 (10:49:36) | ERROR: Stall in Runner thread, restarting!

2025/02/18 (21:19:57) | ===> btop++ v.1.4.0
2025/02/18 (21:19:57) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.
